"","Subject","Age","Year","Sex","Session","Scorer","Scores"
"133",21,22,1,"2","Session3","Scorer2",16
"134",21,22,1,"2","Session4","Scorer2",23
"135",21,22,1,"2","Session5","Scorer2",26
"136",22,26,2,"2","Session1","Scorer2",12
"137",22,26,2,"2","Session2","Scorer2",22
"138",22,26,2,"2","Session3","Scorer2",26
"139",22,26,2,"2","Session4","Scorer2",24
"140",22,26,2,"2","Session5","Scorer2",24
"141",24,25,3,"2","Session1","Scorer2",20
"142",24,25,3,"2","Session2","Scorer2",22
"143",24,25,3,"2","Session3","Scorer2",22
"144",24,25,3,"2","Session4","Scorer2",22
"145",24,25,3,"2","Session5","Scorer2",24
"146",26,22,1,"2","Session1","Scorer2",15
"147",26,22,1,"2","Session2","Scorer2",25
"148",26,22,1,"2","Session3","Scorer2",25
"149",26,22,1,"2","Session4","Scorer2",20
"150",26,22,1,"2","Session5","Scorer2",25
