"","Subject","Age","Year","Sex","Session","Scorer","Scores"
"133",21,22,1,"2","Session3","Scorer2",24
"134",21,22,1,"2","Session4","Scorer2",22
"135",21,22,1,"2","Session5","Scorer2",26
"136",22,26,2,"2","Session1","Scorer2",14
"137",22,26,2,"2","Session2","Scorer2",21
"138",22,26,2,"2","Session3","Scorer2",24
"139",22,26,2,"2","Session4","Scorer2",25
"140",22,26,2,"2","Session5","Scorer2",24
"141",24,25,3,"2","Session1","Scorer2",14
"142",24,25,3,"2","Session2","Scorer2",23
"143",24,25,3,"2","Session3","Scorer2",23
"144",24,25,3,"2","Session4","Scorer2",29
"145",24,25,3,"2","Session5","Scorer2",24
"146",26,22,1,"2","Session1","Scorer2",12
"147",26,22,1,"2","Session2","Scorer2",25
"148",26,22,1,"2","Session3","Scorer2",22
"149",26,22,1,"2","Session4","Scorer2",24
"150",26,22,1,"2","Session5","Scorer2",25
